CORES;QUANTUM;ÚLTIMO TICK;TIEMPO ESPERA PROMEDIO;TIEMPO ESPERA MÁXIMO;EFICIENCIA EN USO DE CPU (%)
1;1;1555;1224,25;1436,3;49,9678
1;3;1085,94;819,789;967,576;71,5542
1;5;994,31;735,154;881,924;78,1495
1;7;957,696;697,997;854,282;81,1384
1;9;937,862;676,889;839,088;82,8558
1;11;926,904;661,433;832,802;83,8337
1;13;920,496;649,668;831,44;84,4165
1;15;916,17;645,403;828,932;84,8149
1;17;913,996;638,938;829,208;85,0166
1;19;912,584;635,855;828,61;85,1474
1;21;911,116;635,441;827,87;85,2847
1;23;911,24;630,863;828,714;85,2726
1;25;910,71;631,562;828,36;85,3223
1;27;909,968;634,405;827,862;85,3926
1;29;910,616;633,036;828,514;85,3314
1;31;910,284;631,233;828,23;85,3632
1;33;909,764;633,699;827,984;85,411
1;35;909,924;632,366;828,114;85,3964
1;37;910,022;634,326;828,554;85,3869
1;39;909,828;629,554;827,922;85,4053
1;41;909,738;629,962;827,692;85,4142
1;43;909,816;630,321;828,25;85,4064
1;45;909,426;631,333;827,472;85,4433
1;47;909,446;633,179;827,314;85,4415
1;49;909,438;629,289;827,444;85,4424
1;51;909,112;632,045;827,064;85,4727
1;53;910;631,57;828,172;85,3891
1;55;909,76;628,889;828,012;85,4121
1;57;909,36;630,726;827,716;85,4493
1;59;909,772;633,656;828,186;85,4106
1;61;909,468;631,972;827,772;85,439
1;63;909,722;630,28;828,106;85,4153
1;65;910,08;630,053;828,48;85,3816
1;67;909,52;628,407;827,75;85,434
1;69;909,552;631,705;828,196;85,431
1;71;909,97;631,956;827,954;85,3913
1;73;909,19;632,272;827,55;85,4651
1;75;909,688;632,213;827,546;85,4186
1;77;909,47;633,998;827,754;85,4388
1;79;909,89;632,19;828,01;85,3994
1;81;910,002;631,163;828,188;85,3888
1;83;910,07;631,792;828,088;85,3834
1;85;909,714;630,574;827,928;85,4161
1;87;909,116;630,853;827,074;85,4726
1;89;909,504;631,677;827,76;85,4356
1;91;910,214;631,129;828,512;85,3691
1;93;909,81;631,403;828,35;85,4066
1;95;909,718;631,757;827,828;85,4161
1;97;910,502;631,192;828,614;85,3424
1;99;910,446;631,33;828,772;85,3471
2;1;1278,72;1047,43;1165,59;30,3836
